"";"gradyear";"gender";"age";"friends";"basketball";"football";"soccer";"softball";"volleyball";"swimming";"cheerleading";"baseball";"tennis";"sports";"cute";"sex";"sexy";"hot";"kissed";"dance";"band";"marching";"music";"rock";"god";"church";"jesus";"bible";"hair";"dress";"blonde";"mall";"shopping";"clothes";"hollister";"abercrombie";"die";"death";"drunk";"drugs"
"44";2007;"F";"17.615";56;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0
"45";2009;"F";"15.578";14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"46";2006;"F";"19.28";28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
"47";2008;"F";"16.285";22;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"48";2008;"F";"16.936";14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"49";2006;"F";"18.99";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"50";2007;"M";"";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"51";2007;"F";"17.941";83;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"52";2009;"F";"14.984";8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"53";2009;NA;"";97;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";2006;"F";"18.579";138;2;0;0;2;0;0;0;2;0;1;2;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0
"55";2006;"F";"";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"56";2007;"F";"17.202";41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";2006;"F";"19.488";8;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"58";2009;"F";"15.551";16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";2007;"F";"17.914";72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"60";2009;"F";"15.907";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"61";2006;"F";"18.694";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
"62";2007;"M";"";38;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";2007;"F";"18.073";32;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";2006;"F";"19.069";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";2006;"M";"18.825";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";2006;"F";"18.034";37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"67";2009;"F";"16.216";31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"68";2006;"F";"18.171";76;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"69";2006;"F";"18.478";28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0
"70";2008;"F";"16.616";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";2007;"F";"18.078";18;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"72";2006;"M";"18.817";13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";2007;NA;"17.76";55;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"74";2007;"F";"17.032";15;1;1;4;0;0;0;0;1;0;1;0;1;0;0;3;0;0;0;2;0;1;0;0;0;6;0;2;1;0;1;0;0;0;0;0;1
"75";2009;"F";"16.457";28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"76";2008;"F";"16.164";9;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"77";2008;"F";"16.137";8;0;0;0;0;0;1;0;1;0;0;0;0;0;4;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"78";2007;"F";"17.443";31;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0
"79";2007;"F";"17.881";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"80";2009;"F";"15.222";26;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"81";2008;"M";"16.476";17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";2009;"F";"16.129";67;0;3;0;0;0;0;0;0;1;1;0;0;0;6;0;1;0;0;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"83";2009;"F";"15.847";39;0;0;7;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0
"84";2006;"M";"19.028";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"85";2009;"M";"15.343";31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"86";2007;"F";"18.116";143;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;2;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0
"87";2007;"F";"17.963";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"88";2006;"F";"18.861";29;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0
"89";2007;"F";"17.544";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"90";2006;"F";"18.743";3;1;0;0;0;1;0;0;0;0;0;0;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"91";2009;"F";"15.54";127;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;8;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"92";2006;"F";"18.472";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"93";2008;"F";"16.966";5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0
"94";2006;"F";"18.163";10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"95";2007;"F";"17.656";21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0
"96";2009;"F";"16.345";141;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;1;0;0;0;0;1;0;0
"97";2009;"F";"16.337";32;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"98";2007;"F";"17.24";104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"99";2006;"F";"18.694";29;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";2008;"F";"17.281";23;4;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;1;0;0;0;0;2;0;2;1;0;0;0;0;3;0;1;0
"101";2008;"F";"16.523";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";2008;"M";"16.29";9;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";2007;"F";"17.29";15;0;1;0;0;0;0;1;0;0;0;0;0;3;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"104";2006;"F";"18.502";242;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"105";2008;"F";"16.556";0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;1;2;3;0;3;1;0;0;0;0;2;1;3;0;0;1;0;0;0;0;0;0
"106";2009;"F";"16.353";19;3;0;7;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;1;0;1;0;1;0;2;0;0;1;1;1;0;0;0;0;0;1
"107";2008;"F";"16.408";32;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";2006;"F";"19.053";0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
"109";2006;"F";"18.998";2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0
"110";2006;"F";"18.79";3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"111";2008;"F";"17.125";73;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"112";2007;"F";"18.119";57;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"113";2006;"F";"8.808";0;0;0;0;0;0;1;0;0;0;7;0;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"114";2007;"F";"18.015";37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";2008;"F";"16.723";129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"116";2006;"M";"19.28";0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;2;3;2;0;1;0;2;1;0;0;1;1;0;0;0;1;0;0;0;0;2;0
"117";2007;"F";"17.61";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";2007;"F";"106.746";18;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;4;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;2;0;1;3
"119";2009;"F";"15.882";56;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"120";2007;"F";"";87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;1;1;0;2;1;1;1;1;5;0;0;0;0;0;0
"121";2009;"F";"16.011";20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"122";2008;"M";"";0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"123";2008;"F";"16.608";54;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"124";2009;"F";"16.884";18;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"125";2009;"F";"15.77";6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"126";2006;"M";"18.472";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";2009;"F";"15.444";29;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"128";2007;"F";"17.325";13;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;3;0;0;0;3;0;0;4;0;2;0;0;1;0;0;0
"129";2008;"F";"16.394";53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"130";2007;"F";"18.062";25;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0
"131";2006;"F";"19.066";8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"132";2009;"F";"15.907";67;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"133";2007;NA;"";67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"134";2007;"F";"";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"135";2008;NA;"16.945";84;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"136";2009;"F";"";32;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"137";2008;"F";"16.682";31;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"138";2009;NA;"";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";2007;"F";"17.758";11;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"140";2006;"F";"19.414";4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";2007;"F";"17.624";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"142";2008;"F";"16.446";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"143";2009;"F";"15.666";9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"144";2007;"F";"17.747";75;0;0;0;1;4;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;9;4;0;0;0;0;0;0;0
"145";2009;"M";"16.235";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"146";2009;"M";"15.463";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
"147";2006;NA;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"148";2008;"M";"17.202";56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;5;0;0;0
"149";2006;"F";"18.39";112;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0
"150";2007;NA;"";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"151";2007;"F";"18.064";40;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"152";2007;"F";"17.854";96;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"153";2008;"F";"17.185";29;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"154";2009;"F";"";9;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"155";2008;"M";"16.307";46;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
